sr_no,cat,que_no,source,message,disp_message
1,1,4,cg_report,"You are looking at the corporate governance report. Find the reappointment date for each board members. If the reppointment date is either not provided or older than 5 years (i.e some date before 2019), then you need to check appointment date. If appointment date is also older than 5 years (i.e before 2019), mark that board member as permanent. Give list of board members and whether or not they are permanent. In other words, either of appointment date or reappointment date should be within last 5 years. For example, if a board member has appoinment date '02-07-2020' and reappointment date is not present, then because the appointment date is within last 5 years  (i.e March 2020 to March 2025 assuming we are checking for annual report as of 31st March 2025) then we would label them as 'Not permanent'. Second example, if any board member has appointment date as 01-01-2012 and reappointment date not present, then we would mark them permanent. Do not present output in table format. Give me text based paragraphs. You are looking at the corporate governance report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ","Find the reappointment date for each board members. If the reppointment date is either not provided or older than 5 years (i.e some date before 2019), then you need to check appointment date. If appointment date is also older than 5 years (i.e before 2019), mark that board member as permanent. Give list of board members and whether or not they are permanent. "
2,1,4,annual_report_url,"check in annual report if it is mentioned that any board member belongs to lender group. If yes, bring that information . You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ",Does any board member belongs to lender group?
3,1,7,annual_report_url,"When does the last financial year end? call it as FYE and when was last Annual General Meeeting (AGM) scheduled? In months, calculate the gap between these two dates.  Give me page number for both information. As example, following is excerp from the notice page in in annual report ""In terms of the provisions of Regulation 34(1) of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find attached herewith Notice of the 45 th Annual General Meeting of the Company to be held on Tuesday, 6 th August, 2024"" and it mensions that Annual general meeting is scheduled on 6th August 2024. Make sure you ignore any AGM date which is before FYE date. If such AGM date is found, ignore it and look again for other AGM date. Finally, based on the gap between AGM and FYE, state whether the gap is less than 4 months, between 4 to 6 months or more than 6 months. You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ",What is gap between Financial year ending and AGM date in months?
4,1,7,annual_report_url,"When does the last financial year end? call it as FYE and when was last Annual General Meeeting (AGM) scheduled? In number of days, calculate the gap between these two dates.  If you do not find any of this, please state explicitly. Give me page number for both information. Make sure you discard any AGM date which is before FYE date. If such AGM date is found, ignore it and look again for other AGM date. You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ",What is gap between Financial year ending and AGM date in days?
5,1,10,combined_policies,Does the company have policy regarding conflict of interest with stakeholders? Does it cover board cross linkages? You are looking at the policies extracted from the company website. Make sure you quote this source in your answer along with the relevant policy name.,Does the company have policy regarding conflict of interest with stakeholders? Does it cover board cross linkages? 
6,1,10,combined_policies,Does the company have policy with strictly prohibits any executive director in Nomination and Renumeration committee? You are looking at the policies extracted from the company website. Make sure you quote this source in your answer along with the relevant policy name.,Does the company have policy with strictly prohibits any executive director in Nomination and Renumeration committee? 
7,1,10,cg_report,Does company have any executive director or any non-independent director in Nomination and renumaration committee? You are looking at the corporate governance report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ,Does company have any executive director or any non-independent director in Nomination and renumaration committee? 
8,1,10,combined_policies,Does the company have policy with strictly prohibits any executive director in Audit committee? You are looking at the policies extracted from the company website. Make sure you quote this source in your answer along with the relevant policy name.,Does the company have policy with strictly prohibits any executive director in Audit committee? 
9,1,10,cg_report,Does company have any executive director or any non-independent director in Audit committee? You are looking at the corporate governance report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ,Does company have any executive director or any non-independent director in Audit committee? 
10,1,10,annual_report_url,"In auditor's report or in whole annual report, do you find any linkages either of key management people or board members with key suppliers or vendors? You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ","In auditor's report or in whole annual report, do you find any linkages either of key management people or board members with key suppliers or vendors? "
11,1,10,annual_report_url,"In auditor's report or in whole annual report, do you find any linkages either of key management people or board members with competitors? You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ",do you find any linkages either of key management people or board members with competitors? 
12,1,12,annual_report_url,"Please check related party transactions table in consolidated financial statement notes. And get all the transactions along with name, Relationship of the counterparty with the listed entity or its subsidiary, its type and amount. Give me output in json format. You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ","Please check related party transactions table in consolidated financial statement notes. And get all the transactions along with name, Relationship of the counterparty with the listed entity or its subsidiary, its type and amount. "
13,1,12,annual_report_url,Please look at the consolidated financial statement and find out the profits the company made in crores. Mention on which page number you got the answer. You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ,Please look at the consolidated financial statement and find out the profits the company made in crores.  
14,1,16,annual_report_url,Does the voting rights of promoters are mentioned somewhere? Does the company have pyramidal holding structures which disproportionately gives more voting power to promoters? You are looking at the annual report as of 31st March 2024. Make sure you quote this source in the answer with the page number from which you extract the information ,Does the company have pyramidal holding structures which disproportionately gives more voting power to promoters?
